G_theta,T,V_oc,I_sc
120,27,89.74,2.341248
156,27,89.74,3.0436224
191,27,89.74,3.7264864
224,27,89.74,4.3703296
258,27,89.74,5.0336832
292,27,89.74,5.6970368
323,27,89.74,6.3018592
354,27,89.74,6.9066816
386,27,89.74,7.5310144
425,27,89.74,8.29192
467,27,89.74,9.1113568
526,27,89.74,10.2624704
610,27,89.74,11.901344
661,27,89.74,12.8963744
693,28,89.14,14.2450308
686,28,89.14,14.1011416
753,29,88.54,16.2654024
780,29,88.54,16.848624
805,29,88.54,17.388644
829,30,87.94,18.773534
851,30,87.94,19.271746
870,30,87.94,19.70202
886,30,87.94,20.064356
899,30,87.94,20.358754
909,30,87.94,20.585214
918,30,87.94,20.789028
924,30,87.94,20.924904
928,30,87.94,21.015488
931,30,87.94,21.083426
933,30,87.94,21.128718
934,30,87.94,21.151364
931,30,87.94,21.083426
927,31,87.34,21.9617424
921,31,87.34,21.8195952
912,31,87.34,21.6063744
901,31,87.34,21.3457712
888,31,87.34,21.0377856
873,31,87.34,20.6824176
856,31,87.34,20.2796672
837,31,87.34,19.8295344
815,31,87.34,19.308328
791,31,87.34,18.7397392
765,31,87.34,18.123768
738,31,87.34,17.4841056
709,31,87.34,16.7970608
679,30,87.94,15.376634
647,30,87.94,14.651962
614,30,87.94,13.904644
579,30,87.94,13.112034
543,30,87.94,12.296778
505,30,87.94,11.43623
466,30,87.94,10.553036
426,30,87.94,9.647196
385,30,87.94,8.71871
345,30,87.94,7.81287
304,30,87.94,6.884384
263,30,87.94,5.955898
224,29,88.54,4.8385792
185,29,88.54,3.996148
149,29,88.54,3.2185192
115,29,88.54,2.484092
128,26,90.34,2.3635456
172,26,90.34,3.1760144
204,26,90.34,3.7669008
224,26,90.34,4.1362048
252,26,90.34,4.6532304
272,26,90.34,5.0225344
296,26,90.34,5.4656992
345,26,90.34,6.370494
387,26,90.34,7.1460324
442,26,90.34,8.1616184
519,26,90.34,9.5834388
543,26,90.34,10.0266036
538,26,90.34,9.9342776
603,27,89.74,11.7647712
622,27,89.74,12.1354688
609,27,89.74,11.8818336
638,28,89.14,13.1144728
656,28,89.14,13.4844736
520,28,89.14,10.688912
504,29,88.54,10.8868032
585,29,88.54,12.636468
795,29,88.54,17.172636
786,29,88.54,16.9782288
694,30,87.94,15.716324
790,30,87.94,17.89034
774,30,87.94,17.528004
806,30,87.94,18.252676
884,30,87.94,20.019064
880,30,87.94,19.92848
881,30,87.94,19.951126
833,30,87.94,18.864118
843,30,87.94,19.090578
851,30,87.94,19.271746
817,30,87.94,18.501782
744,30,87.94,16.848624
698,30,87.94,15.806908
662,30,87.94,14.991652
644,30,87.94,14.584024
607,30,87.94,13.746122
587,30,87.94,13.293202
575,30,87.94,13.02145
556,30,87.94,12.591176
518,30,87.94,11.730628
471,30,87.94,10.666266
430,30,87.94,9.73778
398,30,87.94,9.013108
408,30,87.94,9.239568
450,30,87.94,10.1907
518,30,87.94,11.730628
509,30,87.94,11.526814
445,30,87.94,10.07747
415,30,87.94,9.39809
406,30,87.94,9.194276
365,29,88.54,7.884292
324,29,88.54,6.9986592
283,29,88.54,6.1130264
243,29,88.54,5.2489944
198,29,88.54,4.2769584
124,29,88.54,2.6784992
106,29,88.54,2.2896848
109,27,89.74,2.1266336
143,27,89.74,2.7899872
180,27,89.74,3.511872
218,27,89.74,4.2532672
258,27,89.74,5.0336832
298,27,89.74,5.8140992
339,27,89.74,6.6140256
379,27,89.74,7.3944416
419,27,89.74,8.1748576
458,27,89.74,8.9357632
497,27,89.74,9.6966688
535,27,89.74,10.438064
571,27,89.74,11.1404384
607,28,89.14,12.4772492
641,28,89.14,13.1761396
674,28,89.14,13.8544744
705,28,89.14,14.491698
735,29,88.54,15.876588
762,29,88.54,16.4598096
788,29,88.54,17.0214304
812,29,88.54,17.5398496
834,30,87.94,18.886764
854,30,87.94,19.339684
871,30,87.94,19.724666
883,30,87.94,19.996418
894,30,87.94,20.245524
902,30,87.94,20.426692
908,30,87.94,20.562568
912,30,87.94,20.653152
915,30,87.94,20.72109
917,30,87.94,20.766382
917,30,87.94,20.766382
915,30,87.94,20.72109
910,30,87.94,20.60786
904,30,87.94,20.471984
895,30,87.94,20.26817
884,31,87.34,20.9430208
871,31,87.34,20.6350352
857,31,87.34,20.3033584
840,31,87.34,19.900608
821,31,87.34,19.4504752
799,31,87.34,18.9292688
773,31,87.34,18.3132976
746,31,87.34,17.6736352
717,30,87.94,16.237182
687,30,87.94,15.557802
655,30,87.94,14.83313
623,30,87.94,14.108458
590,30,87.94,13.36114
555,30,87.94,12.56853
520,30,87.94,11.77592
482,30,87.94,10.915372
444,30,87.94,10.054824
406,30,87.94,9.194276
367,29,88.54,7.9274936
329,29,88.54,7.1066632
290,29,88.54,6.264232
251,29,88.54,5.4218008
214,29,88.54,4.6225712
178,29,88.54,3.8449424
143,29,88.54,3.0889144
111,29,88.54,2.3976888
114,26,90.34,2.1050328
145,26,90.34,2.677454
177,26,90.34,3.2683404
208,26,90.34,3.8407616
242,27,89.74,4.7215168
271,27,89.74,5.2873184
303,27,89.74,5.9116512
340,27,89.74,6.633536
372,27,89.74,7.2578688
409,27,89.74,7.9797536
462,27,89.74,9.0138048
525,27,89.74,10.24296
561,27,89.74,10.9453344
631,27,89.74,12.3110624
663,28,89.14,13.6283628
694,28,89.14,14.2655864
723,28,89.14,14.8616988
750,29,88.54,16.2006
776,29,88.54,16.7622208
799,29,88.54,17.2590392
821,29,88.54,17.7342568
841,29,88.54,18.1662728
859,29,88.54,18.5550872
874,29,88.54,18.8790992
887,30,87.94,20.087002
897,30,87.94,20.313462
906,30,87.94,20.517276
913,30,87.94,20.675798
917,30,87.94,20.766382
919,30,87.94,20.811674
919,30,87.94,20.811674
917,30,87.94,20.766382
912,30,87.94,20.653152
906,30,87.94,20.517276
897,30,87.94,20.313462
886,30,87.94,20.064356
873,30,87.94,19.769958
857,30,87.94,19.407622
840,30,87.94,19.02264
821,30,87.94,18.592366
800,30,87.94,18.1168
778,30,87.94,17.618588
754,30,87.94,17.075084
728,30,87.94,16.486288
700,29,88.54,15.12056
671,29,88.54,14.4941368
640,29,88.54,13.824512
607,29,88.54,13.1116856
572,29,88.54,12.3556576
536,29,88.54,11.5780288
499,29,88.54,10.7787992
461,29,88.54,9.9579688
422,29,88.54,9.1155376
382,29,88.54,8.2515056
342,29,88.54,7.3874736
302,29,88.54,6.5234416
263,29,88.54,5.6810104
223,29,88.54,4.8169784
186,29,88.54,4.0177488
150,28,89.14,3.08334
116,28,89.14,2.3844496
116,26,90.34,2.1419632
153,26,90.34,2.8251756
196,26,90.34,3.6191792
237,27,89.74,4.6239648
267,27,89.74,5.2092768
292,27,89.74,5.6970368
313,27,89.74,6.1067552
328,27,89.74,6.3994112
343,27,89.74,6.6920672
373,27,89.74,7.2773792
420,27,89.74,8.194368
475,27,89.74,9.26744
538,27,89.74,10.4965952
590,27,89.74,11.511136
639,28,89.14,13.1350284
669,28,89.14,13.7516964
698,28,89.14,14.3478088
726,28,89.14,14.9233656
752,29,88.54,16.2438016
776,29,88.54,16.7622208
798,29,88.54,17.2374384
818,29,88.54,17.6694544
837,29,88.54,18.0798696
819,29,88.54,17.6910552
853,30,87.94,19.317038
886,30,87.94,20.064356
898,30,87.94,20.336108
908,30,87.94,20.562568
914,30,87.94,20.698444
917,30,87.94,20.766382
918,30,87.94,20.789028
916,30,87.94,20.743736
912,30,87.94,20.653152
906,30,87.94,20.517276
898,30,87.94,20.336108
888,30,87.94,20.109648
876,30,87.94,19.837896
861,30,87.94,19.498206
844,30,87.94,19.113224
826,30,87.94,18.705596
802,30,87.94,18.162092
773,30,87.94,17.505358
742,30,87.94,16.803332
710,30,87.94,16.07866
677,30,87.94,15.331342
642,30,87.94,14.538732
608,29,88.54,13.1332864
576,29,88.54,12.4420608
542,29,88.54,11.7076336
507,29,88.54,10.9516056
471,29,88.54,10.1739768
434,29,88.54,9.3747472
397,29,88.54,8.5755176
359,29,88.54,7.7546872
321,29,88.54,6.9338568
283,29,88.54,6.1130264
245,29,88.54,5.292196
209,29,88.54,4.5145672
173,29,88.54,3.7369384
139,29,88.54,3.0025112
108,29,88.54,2.3328864
113,27,89.74,2.2046752
158,27,89.74,3.0826432
204,27,89.74,3.9801216
241,27,89.74,4.7020064
279,27,89.74,5.4434016
284,27,89.74,5.5409536
301,27,89.74,5.8726304
337,27,89.74,6.5750048
382,27,89.74,7.4529728
428,27,89.74,8.3504512
461,27,89.74,8.9942944
430,27,89.74,8.389472
435,27,89.74,8.487024
441,27,89.74,8.6040864
481,27,89.74,9.3845024
532,28,89.14,10.9355792
565,28,89.14,11.613914
603,28,89.14,12.3950268
635,29,88.54,13.716508
645,29,88.54,13.932516
708,29,88.54,15.2933664
726,29,88.54,15.6821808
712,29,88.54,15.3797696
775,29,88.54,16.74062
778,30,87.94,17.618588
779,30,87.94,17.641234
771,30,87.94,17.460066
768,30,87.94,17.392128
746,30,87.94,16.893916
726,30,87.94,16.440996
633,30,87.94,14.334918
737,30,87.94,16.690102
728,30,87.94,16.486288
642,30,87.94,14.538732
642,30,87.94,14.538732
634,31,87.34,15.0202208
663,31,87.34,15.7072656
679,31,87.34,16.0863248
693,31,87.34,16.4180016
683,31,87.34,16.1810896
707,31,87.34,16.7496784
694,31,87.34,16.4416928
619,31,87.34,14.6648528
541,31,87.34,12.8169392
552,30,87.94,12.500592
534,30,87.94,12.092964
531,30,87.94,12.025026
546,30,87.94,12.364716
519,30,87.94,11.753274
499,30,87.94,11.300354
464,30,87.94,10.507744
428,30,87.94,9.692488
391,30,87.94,8.854586
354,29,88.54,7.6466832
317,29,88.54,6.8474536
279,29,88.54,6.0266232
242,29,88.54,5.2273936
206,29,88.54,4.4497648
172,29,88.54,3.7153376
139,29,88.54,3.0025112
108,29,88.54,2.3328864
105,26,90.34,1.938846
127,27,89.74,2.4778208
157,27,89.74,3.0631328
182,27,89.74,3.5508928
184,27,89.74,3.5899136
200,27,89.74,3.90208
246,27,89.74,4.7995584
290,27,89.74,5.658016
354,27,89.74,6.9066816
404,27,89.74,7.8822016
467,27,89.74,9.1113568
477,27,89.74,9.3064608
503,27,89.74,9.8137312
574,27,89.74,11.1989696
607,28,89.14,12.4772492
639,28,89.14,13.1350284
670,28,89.14,13.772252
682,29,88.54,14.7317456
676,29,88.54,14.6021408
674,29,88.54,14.5589392
707,30,87.94,16.010722
739,30,87.94,16.735394
788,30,87.94,17.845048
836,30,87.94,18.932056
852,30,87.94,19.294392
847,31,87.34,20.0664464
840,31,87.34,19.900608
830,31,87.34,19.663696
869,31,87.34,20.5876528
898,31,87.34,21.2746976
883,31,87.34,20.9193296
883,31,87.34,20.9193296
900,31,87.34,21.32208
896,31,87.34,21.2273152
889,31,87.34,21.0614768
881,31,87.34,20.8719472
809,32,86.74,20.0117476
766,32,86.74,18.9480824
770,32,86.74,19.047028
742,32,86.74,18.3544088
702,32,86.74,17.3649528
716,32,86.74,17.7112624
744,32,86.74,18.4038816
736,32,86.74,18.2059904
708,32,86.74,17.5133712
679,32,86.74,16.7960156
649,31,87.34,15.3755888
617,31,87.34,14.6174704
584,31,87.34,13.8356608
550,31,87.34,13.03016
514,31,87.34,12.1772768
478,31,87.34,11.3243936
440,31,87.34,10.424128
402,30,87.94,9.103692
364,30,87.94,8.243144
325,30,87.94,7.35995
286,30,87.94,6.476756
248,30,87.94,5.616208
211,30,87.94,4.778306
175,30,87.94,3.96305
141,30,87.94,3.193086
109,30,87.94,2.468414
113,27,89.74,2.2046752
144,27,89.74,2.8094976
178,27,89.74,3.4728512
214,27,89.74,4.1752256
249,27,89.74,4.8580896
283,27,89.74,5.5214432
317,27,89.74,6.1847968
360,27,89.74,7.023744
420,27,89.74,8.194368
457,27,89.74,8.9162528
492,27,89.74,9.5991168
527,27,89.74,10.2819808
561,27,89.74,10.9453344
594,28,89.14,12.2100264
625,28,89.14,12.84725
655,28,89.14,13.463918
683,29,88.54,14.7533464
710,29,88.54,15.336568
734,29,88.54,15.8549872
757,30,87.94,17.143022
778,30,87.94,17.618588
797,30,87.94,18.048862
814,30,87.94,18.433844
830,30,87.94,18.79618
844,31,87.34,19.9953728
856,31,87.34,20.2796672
866,31,87.34,20.5165792
873,31,87.34,20.6824176
878,31,87.34,20.8008736
881,31,87.34,20.8719472
881,31,87.34,20.8719472
878,31,87.34,20.8008736
874,31,87.34,20.7061088
868,31,87.34,20.5639616
859,31,87.34,20.3507408
849,31,87.34,20.1138288
836,31,87.34,19.8058432
822,31,87.34,19.4741664
805,31,87.34,19.071416
787,31,87.34,18.6449744
766,31,87.34,18.1474592
743,31,87.34,17.6025616
718,31,87.34,17.0102816
691,31,87.34,16.3706192
663,31,87.34,15.7072656
633,31,87.34,14.9965296
602,31,87.34,14.2621024
570,31,87.34,13.503984
537,30,87.94,12.160902
502,30,87.94,11.368292
466,30,87.94,10.553036
429,30,87.94,9.715134
392,30,87.94,8.877232
355,30,87.94,8.03933
317,30,87.94,7.178782
280,30,87.94,6.34088
243,30,87.94,5.502978
207,30,87.94,4.687722
172,30,87.94,3.895112
139,30,87.94,3.147794
108,30,87.94,2.445768
106,27,89.74,2.0681024
135,27,89.74,2.633904
162,27,89.74,3.1606848
192,28,89.14,3.9466752
225,28,89.14,4.62501
250,28,89.14,5.1389
275,28,89.14,5.65279
307,28,89.14,6.3105692
347,28,89.14,7.1327932
379,28,89.14,7.7905724
412,28,89.14,8.4689072
449,28,89.14,9.2294644
486,28,89.14,9.9900216
524,28,89.14,10.7711344
561,28,89.14,11.5316916
595,29,88.54,12.852476
654,29,88.54,14.1269232
680,29,88.54,14.688544
705,30,87.94,15.96543
728,30,87.94,16.486288
732,30,87.94,16.576872
768,30,87.94,17.392128
785,30,87.94,17.77711
801,30,87.94,18.139446
815,31,87.34,19.308328
827,31,87.34,19.5926224
837,31,87.34,19.8295344
844,31,87.34,19.9953728
849,31,87.34,20.1138288
851,31,87.34,20.1612112
851,31,87.34,20.1612112
849,31,87.34,20.1138288
845,31,87.34,20.019064
839,31,87.34,19.8769168
830,31,87.34,19.663696
820,31,87.34,19.426784
808,31,87.34,19.1424896
793,31,87.34,18.7871216
777,31,87.34,18.4080624
758,31,87.34,17.9579296
739,31,87.34,17.5077968
718,31,87.34,17.0102816
696,31,87.34,16.4890752
671,31,87.34,15.8967952
645,31,87.34,15.280824
617,31,87.34,14.6174704
587,31,87.34,13.9067344
555,30,87.94,12.56853
521,30,87.94,11.798566
486,30,87.94,11.005956
450,30,87.94,10.1907
414,30,87.94,9.375444
377,30,87.94,8.537542
340,30,87.94,7.69964
303,30,87.94,6.861738
267,30,87.94,6.046482
231,30,87.94,5.231226
196,30,87.94,4.438616
162,30,87.94,3.668652
131,30,87.94,2.966626
102,30,87.94,2.309892
126,28,89.14,2.5900056
152,28,89.14,3.1244512
187,28,89.14,3.8438972
224,28,89.14,4.6044544
248,28,89.14,5.0977888
289,28,89.14,5.9405684
348,28,89.14,7.1533488
384,28,89.14,7.8933504
419,28,89.14,8.6127964
455,28,89.14,9.352798
490,28,89.14,10.072244
524,28,89.14,10.7711344
557,29,88.54,12.0316456
589,29,88.54,12.7228712
619,29,88.54,13.3708952
648,29,88.54,13.9973184
676,30,87.94,15.308696
702,30,87.94,15.897492
726,30,87.94,16.440996
749,30,87.94,16.961854
769,30,87.94,17.414774
790,31,87.34,18.716048
812,31,87.34,19.2372544
832,31,87.34,19.7110784
850,31,87.34,20.13752
866,31,87.34,20.5165792
879,31,87.34,20.8245648
888,31,87.34,21.0377856
891,31,87.34,21.1088592
891,31,87.34,21.1088592
890,31,87.34,21.085168
887,31,87.34,21.0140944
881,31,87.34,20.8719472
873,31,87.34,20.6824176
862,31,87.34,20.4218144
850,31,87.34,20.13752
835,31,87.34,19.782152
818,31,87.34,19.3794016
800,31,87.34,18.95296
778,31,87.34,18.4317536
755,31,87.34,17.886856
729,31,87.34,17.2708848
702,31,87.34,16.6312224
674,31,87.34,15.9678688
644,31,87.34,15.2571328
613,31,87.34,14.5227056
581,31,87.34,13.7645872
547,31,87.34,12.9590864
512,30,87.94,11.594752
476,30,87.94,10.779496
439,30,87.94,9.941594
402,30,87.94,9.103692
363,30,87.94,8.220498
325,30,87.94,7.35995
286,30,87.94,6.476756
249,30,87.94,5.638854
211,30,87.94,4.778306
176,30,87.94,3.985696
142,30,87.94,3.215732
110,30,87.94,2.49106
105,28,89.14,2.158338
129,28,89.14,2.6516724
155,28,89.14,3.186118
179,28,89.14,3.6794524
204,28,89.14,4.1933424
236,28,89.14,4.8511216
270,28,89.14,5.550012
308,28,89.14,6.3311248
342,28,89.14,7.0300152
388,28,89.14,7.9755728
436,29,88.54,9.4179488
482,29,88.54,10.4115856
534,29,88.54,11.5348272
581,29,88.54,12.5500648
613,29,88.54,13.2412904
644,29,88.54,13.9109152
673,30,87.94,15.240758
700,30,87.94,15.8522
725,30,87.94,16.41835
748,30,87.94,16.939208
770,30,87.94,17.43742
789,30,87.94,17.867694
803,31,87.34,19.0240336
812,31,87.34,19.2372544
819,31,87.34,19.4030928
823,31,87.34,19.4978576
826,31,87.34,19.5689312
826,31,87.34,19.5689312
828,31,87.34,19.6163136
831,31,87.34,19.6873872
832,31,87.34,19.7110784
831,31,87.34,19.6873872
828,31,87.34,19.6163136
822,31,87.34,19.4741664
815,31,87.34,19.308328
805,31,87.34,19.071416
793,31,87.34,18.7871216
779,31,87.34,18.4554448
763,31,87.34,18.0763856
745,31,87.34,17.649944
724,31,87.34,17.1524288
700,31,87.34,16.58384
675,31,87.34,15.99156
649,31,87.34,15.3755888
621,31,87.34,14.7122352
592,31,87.34,14.0251904
562,31,87.34,13.3144544
531,30,87.94,12.025026
499,30,87.94,11.300354
466,30,87.94,10.553036
431,30,87.94,9.760426
396,30,87.94,8.967816
360,30,87.94,8.15256
325,30,87.94,7.35995
289,30,87.94,6.544694
254,30,87.94,5.752084
220,30,87.94,4.98212
186,30,87.94,4.212156
155,30,87.94,3.51013
125,30,87.94,2.83075
124,27,89.74,2.4192896
167,28,89.14,3.4327852
201,28,89.14,4.1316756
236,28,89.14,4.8511216
273,28,89.14,5.6116788
310,28,89.14,6.372236
348,28,89.14,7.1533488
386,28,89.14,7.9344616
424,28,89.14,8.7155744
461,28,89.14,9.4761316
497,28,89.14,10.2161332
532,28,89.14,10.9355792
567,28,89.14,11.6550252
600,28,89.14,12.33336
632,29,88.54,13.6517056
662,29,88.54,14.2997296
690,29,88.54,14.904552
717,30,87.94,16.237182
742,30,87.94,16.803332
765,30,87.94,17.32419
786,30,87.94,17.799756
806,31,87.34,19.0951072
823,31,87.34,19.4978576
839,31,87.34,19.8769168
852,31,87.34,20.1849024
863,31,87.34,20.4455056
873,32,86.74,21.5948772
880,32,86.74,21.768032
885,32,86.74,21.891714
887,32,86.74,21.9411868
888,32,86.74,21.9659232
886,32,86.74,21.9164504
882,32,86.74,21.8175048
876,32,86.74,21.6690864
868,32,86.74,21.4711952
858,32,86.74,21.2238312
845,32,86.74,20.902258
830,32,86.74,20.531212
814,32,86.74,20.1354296
795,32,86.74,19.665438
773,32,86.74,19.1212372
748,32,86.74,18.5028272
720,32,86.74,17.810208
691,32,86.74,17.0928524
660,31,87.34,15.636192
628,31,87.34,14.8780736
596,31,87.34,14.1199552
564,31,87.34,13.3618368
531,30,87.94,12.025026
497,30,87.94,11.255062
462,30,87.94,10.462452
427,30,87.94,9.669842
390,30,87.94,8.83194
354,30,87.94,8.016684
317,30,87.94,7.178782
280,30,87.94,6.34088
243,30,87.94,5.502978
208,30,87.94,4.710368
173,30,87.94,3.917758
140,30,87.94,3.17044
109,30,87.94,2.468414
104,27,89.74,2.0290816
135,27,89.74,2.633904
169,27,89.74,3.2972576
222,27,89.74,4.3313088
250,27,89.74,4.8776
284,28,89.14,5.8377904
317,28,89.14,6.5161252
359,28,89.14,7.3794604
421,28,89.14,8.6539076
459,28,89.14,9.4350204
496,28,89.14,10.1955776
532,28,89.14,10.9355792
567,28,89.14,11.6550252
600,28,89.14,12.33336
633,28,89.14,13.0116948
663,29,88.54,14.3213304
693,29,88.54,14.9693544
720,29,88.54,15.552576
746,30,87.94,16.893916
770,30,87.94,17.43742
793,30,87.94,17.958278
813,30,87.94,18.411198
831,31,87.34,19.6873872
845,31,87.34,20.019064
854,31,87.34,20.2322848
861,31,87.34,20.3981232
866,31,87.34,20.5165792
869,31,87.34,20.5876528
870,31,87.34,20.611344
871,31,87.34,20.6350352
873,31,87.34,20.6824176
872,31,87.34,20.6587264
869,31,87.34,20.5876528
865,31,87.34,20.492888
858,32,86.74,21.2238312
848,32,86.74,20.9764672
836,32,86.74,20.6796304
823,32,86.74,20.3580572
807,32,86.74,19.9622748
789,32,86.74,19.5170196
769,32,86.74,19.0222916
746,32,86.74,18.4533544
720,32,86.74,17.810208
692,32,86.74,17.1175888
663,32,86.74,16.4002332
633,32,86.74,15.6581412
601,31,87.34,14.2384112
570,31,87.34,13.503984
539,31,87.34,12.7695568
506,31,87.34,11.9877472
473,31,87.34,11.2059376
438,31,87.34,10.3767456
402,31,87.34,9.5238624
367,30,87.94,8.311082
331,30,87.94,7.495826
296,30,87.94,6.703216
260,30,87.94,5.88796
226,30,87.94,5.117996
184,30,87.94,4.166864
144,30,87.94,3.261024
112,30,87.94,2.536352
109,27,89.74,2.1266336
131,28,89.14,2.6927836
155,28,89.14,3.186118
176,28,89.14,3.6177856
199,28,89.14,4.0905644
222,28,89.14,4.5633432
261,28,89.14,5.3650116
306,28,89.14,6.2900136
341,28,89.14,7.0094596
392,28,89.14,8.0577952
446,28,89.14,9.1677976
495,28,89.14,10.175022
542,28,89.14,11.1411352
574,28,89.14,11.7989144
605,29,88.54,13.068484
635,29,88.54,13.716508
663,29,88.54,14.3213304
690,30,87.94,15.62574
715,30,87.94,16.19189
739,30,87.94,16.735394
760,30,87.94,17.21096
780,31,87.34,18.479136
798,31,87.34,18.9055776
814,31,87.34,19.2846368
828,31,87.34,19.6163136
840,31,87.34,19.900608
850,31,87.34,20.13752
857,31,87.34,20.3033584
862,31,87.34,20.4218144
866,31,87.34,20.5165792
866,31,87.34,20.5165792
865,31,87.34,20.492888
862,31,87.34,20.4218144
856,32,86.74,21.1743584
848,32,86.74,20.9764672
838,32,86.74,20.7291032
825,32,86.74,20.40753
811,32,86.74,20.0612204
794,32,86.74,19.6407016
776,32,86.74,19.1954464
757,31,87.34,17.9342384
737,31,87.34,17.4604144
715,31,87.34,16.939208
692,31,87.34,16.3943104
668,31,87.34,15.8257216
642,31,87.34,15.2097504
612,31,87.34,14.4990144
580,31,87.34,13.740896
547,30,87.94,12.387362
512,30,87.94,11.594752
475,30,87.94,10.75685
438,30,87.94,9.918948
401,30,87.94,9.081046
363,30,87.94,8.220498
325,30,87.94,7.35995
287,30,87.94,6.499402
249,30,87.94,5.638854
212,30,87.94,4.800952
177,30,87.94,4.008342
143,29,88.54,3.0889144
111,29,88.54,2.3976888
118,28,89.14,2.4255608
147,28,89.14,3.0216732
180,28,89.14,3.700008
227,28,89.14,4.6661212
278,28,89.14,5.7144568
315,28,89.14,6.475014
353,28,89.14,7.2561268
390,28,89.14,8.016684
386,28,89.14,7.9344616
423,28,89.14,8.6950188
486,28,89.14,9.9900216
506,28,89.14,10.4011336
553,29,88.54,11.9452424
602,29,88.54,13.0036816
633,29,88.54,13.6733064
663,29,88.54,14.3213304
692,30,87.94,15.671032
719,30,87.94,16.282474
744,30,87.94,16.848624
767,30,87.94,17.369482
788,30,87.94,17.845048
773,30,87.94,17.505358
783,30,87.94,17.731818
820,30,87.94,18.56972
848,31,87.34,20.0901376
857,31,87.34,20.3033584
864,31,87.34,20.4691968
869,31,87.34,20.5876528
872,31,87.34,20.6587264
875,31,87.34,20.7298
875,31,87.34,20.7298
873,31,87.34,20.6824176
869,31,87.34,20.5876528
862,31,87.34,20.4218144
854,31,87.34,20.2322848
844,31,87.34,19.9953728
832,31,87.34,19.7110784
817,31,87.34,19.3557104
801,31,87.34,18.9766512
782,31,87.34,18.5265184
763,31,87.34,18.0763856
742,31,87.34,17.5788704
720,31,87.34,17.057664
695,31,87.34,16.465384
669,31,87.34,15.8494128
642,31,87.34,15.2097504
612,31,87.34,14.4990144
580,30,87.94,13.13468
546,30,87.94,12.364716
512,30,87.94,11.594752
476,30,87.94,10.779496
440,30,87.94,9.96424
403,30,87.94,9.126338
365,30,87.94,8.26579
327,30,87.94,7.405242
289,30,87.94,6.544694
251,30,87.94,5.684146
214,30,87.94,4.846244
178,30,87.94,4.030988
145,30,87.94,3.28367
113,30,87.94,2.558998
123,28,89.14,2.5283388
169,28,89.14,3.4738964
205,28,89.14,4.213898
251,28,89.14,5.1594556
280,28,89.14,5.755568
312,28,89.14,6.4133472
346,29,88.54,7.4738768
376,29,88.54,8.1219008
405,29,88.54,8.748324
435,29,88.54,9.396348
464,29,88.54,10.0227712
516,29,88.54,11.1460128
536,29,88.54,11.5780288
554,29,88.54,11.9668432
593,29,88.54,12.8092744
602,29,88.54,13.0036816
609,30,87.94,13.791414
669,30,87.94,15.150174
698,30,87.94,15.806908
726,30,87.94,16.440996
769,30,87.94,17.414774
801,31,87.34,18.9766512
810,31,87.34,19.189872
816,31,87.34,19.3320192
863,31,87.34,20.4455056
889,31,87.34,21.0614768
895,31,87.34,21.203624
898,31,87.34,21.2746976
901,31,87.34,21.3457712
903,31,87.34,21.3931536
903,31,87.34,21.3931536
901,31,87.34,21.3457712
897,31,87.34,21.2510064
890,31,87.34,21.085168
882,31,87.34,20.8956384
871,31,87.34,20.6350352
859,31,87.34,20.3507408
844,31,87.34,19.9953728
827,31,87.34,19.5926224
809,31,87.34,19.1661808
788,31,87.34,18.6686656
764,31,87.34,18.1000768
739,31,87.34,17.5077968
711,31,87.34,16.8444432
682,31,87.34,16.1573984
651,31,87.34,15.4229712
619,31,87.34,14.6648528
587,31,87.34,13.9067344
553,30,87.94,12.523238
518,30,87.94,11.730628
482,30,87.94,10.915372
446,30,87.94,10.100116
408,30,87.94,9.239568
370,30,87.94,8.37902
332,30,87.94,7.518472
294,30,87.94,6.657924
256,30,87.94,5.797376
218,30,87.94,4.936828
182,30,87.94,4.121572
148,30,87.94,3.351608
115,30,87.94,2.60429
122,28,89.14,2.5077832
169,28,89.14,3.4738964
205,28,89.14,4.213898
244,28,89.14,5.0155664
283,28,89.14,5.8172348
322,28,89.14,6.6189032
362,28,89.14,7.4411272
401,28,89.14,8.2427956
440,28,89.14,9.044464
478,29,88.54,10.3251824
516,29,88.54,11.1460128
553,29,88.54,11.9452424
589,29,88.54,12.7228712
623,29,88.54,13.4572984
656,29,88.54,14.1701248
688,29,88.54,14.8613504
719,29,88.54,15.5309752
747,29,88.54,16.1357976
774,29,88.54,16.7190192
799,30,87.94,18.094154
822,30,87.94,18.615012
844,30,87.94,19.113224
863,30,87.94,19.543498
880,30,87.94,19.92848
896,30,87.94,20.290816
909,30,87.94,20.585214
920,30,87.94,20.83432
929,30,87.94,21.038134
936,30,87.94,21.196656
940,30,87.94,21.28724
943,30,87.94,21.355178
943,30,87.94,21.355178
941,30,87.94,21.309886
937,30,87.94,21.219302
930,30,87.94,21.06078
922,30,87.94,20.879612
912,30,87.94,20.653152
899,31,87.34,21.2983888
884,31,87.34,20.9430208
868,30,87.94,19.656728
849,30,87.94,19.226454
827,30,87.94,18.728242
802,30,87.94,18.162092
774,30,87.94,17.528004
745,30,87.94,16.87127
715,30,87.94,16.19189
682,30,87.94,15.444572
650,30,87.94,14.7199
617,30,87.94,13.972582
583,30,87.94,13.202618
548,30,87.94,12.410008
512,30,87.94,11.594752
474,30,87.94,10.734204
436,30,87.94,9.873656
397,30,87.94,8.990462
357,29,88.54,7.7114856
318,29,88.54,6.8690544
